MicroMessenger Client,微信中的工具
"AppStore/2.0 iOS/9.1 model/iPhone6,2 hwp/s5l8960x build/13B143 (6; dt:90)",苹果应用商店
Youku;5.1;Android;4.2.2;GT-I9152,优酷
m1 note_4.4.4_weibo_5.5.0_android,微博
"QIYIVideo/6.7.1 (iOS;com.qiyi.iphone;iOS8.1.2;iPhone5,2) Corejar",爱奇艺
ImgoTV-iphone/4.5.5.151025 CFNetwork/672.1.15 Darwin/14.0.0,芒果tv
QIYIVideo/6.7.1 (Gphone;com.qiyi.video;Android 5.1;Meizu m2 note) Corejar,爱奇艺
Youku;5.1;Android;5.0;vivo Y33,优酷
qqlive4Android/3.9.0.6272  Dalvik (Android 4.2.2),腾讯视频
MI 2S_4.1.1_weibo_5.5.0_android,微博
SOHUVideo/5.0.1 (iPhone; iOS 8.4.1; Scale/2.00),搜狐
echo/20151030 CFNetwork/758.1.6 Darwin/15.0.0,echo回声
QQ/5.4.0.454 CFNetwork/672.1.13 Darwin/14.0.0,qq
"QIYIVideo/6.6 (iOS;com.qiyi.iphone;iOS9.0.2;iPhone7,2) Corejar",爱奇艺
Youku;4.6.5;Android;4.3;R2017,优酷
bdtb for Android 6.8.31,百度贴吧
QQMusic 5020115(android 4.2.2),qq音乐
Youku;5.0.2;Android;4.4.4;HM NOTE 1LTEW,优酷
Youku;5.1.1;Android;4.4.4;A31,优酷
"AppStore/2.0 iOS/8.4.1 model/iPhone6,1 build/12H321 (6; dt:89)",苹果应用商店
MomoChat/6.4.2 Android/469 (Lenovo P700i; Android 4.0.4; Gapps 0; zh_CN; 22),陌陌
Mogujie4iPhone/7.2.6 (iPhone; iOS 9.1; Scale/2.00),蘑菇街
funshion app/2.0,风行网
Youku;5.1.1;Android;4.4.2;H60-L02,优酷
HM NOTE 1TD_4.2.2_weibo_5.5.0_android,微博
com.wandafilm.app/4.3.2 (Linux; U; Android 5.1; zh-cn; XT1085 Build/LPE23.32-53; motorola) 1080X1794 motorola XT1085,万达电影
Tudou;4.2;Android;4.4.2;MOMO7 PLUS,土豆
sosomap navsns,搜搜地图
qqlive/3790 CFNetwork/711.4.6 Darwin/14.0.0,腾讯视频
YouKuHD/80652029 CFNetwork/711.5.6 Darwin/14.0.0,优酷
VKAndroidApp/3.15.2-788 (Android 4.2.2; SDK 17; armeabi-v7a; HUAWEI HUAWEI P6-U06; ru),vkontakte
qqlive/3956 CFNetwork/711.1.16 Darwin/14.0.0,腾讯视频
